,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Down,Aroon Up,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2015-10-02,58.36,63.24,58.2,63.2,63.2,22351551,0.0000,1.0,62.2480,62.5449,44.5306,64.6144,40.2831,0.2865,-2.7267,-3.0133,40.7327,-21.1406,85.0000,40.0000,62.2480,67.9513,56.5447,-372678449.9267,46827436.0000
2015-10-01,59.5,59.83,58.23,58.87,58.87,8147114,0.0000,1.0,62.4115,62.4759,35.1195,35.5541,21.6331,-0.0802,-3.1651,-3.0849,41.5350,-99.1215,90.0000,45.0000,62.4115,68.3952,56.4278,-394675214.4029,24475885.0000
2015-09-30,58.87,60.08,58.35,58.97,58.97,16552047,0.0000,1.0,62.7450,62.8555,35.2507,20.6809,13.6389,-0.1729,-3.2378,-3.0648,41.4982,-107.2728,95.0000,50.0000,62.7450,68.6449,56.8451,-393045791.6029,32622999.0000
2015-09-29,57.3,58.65,57.2,57.82,57.82,16769818,0.0000,1.0,63.0380,63.2645,32.4952,8.6642,10.9727,-0.2720,-3.2936,-3.0216,41.4731,-161.0817,100.0000,0.0000,63.0380,68.7375,57.3385,-388357639.5624,16070952.0000
2015-09-28,58.81,60.12,57.315,57.39,57.39,20565547,0.0000,1.0,63.4530,63.8376,31.4591,11.5716,11.4616,-0.2462,-3.1998,-2.9536,41.0472,-180.0590,100.0000,0.0000,63.4530,68.7681,58.1379,-385928907.3003,-698866.0000
2015-09-25,60.63,60.84,58.92,59.24,59.24,17002577,0.0000,1.0,64.0870,64.5163,33.5647,12.6822,13.1092,-0.0977,-2.9898,-2.8921,40.6099,-156.7621,95.0000,0.0000,64.0870,69.3829,58.7911,-366463122.1720,19866681.0000
2015-09-24,59.42,60.34,58.21,59.92,59.92,20635538,0.0000,1.0,64.6670,65.0717,34.3680,10.1311,21.2732,0.0011,-2.8666,-2.8676,40.3027,-170.9549,100.0000,5.0000,64.6670,70.2458,59.0882,-355128070.8387,36869258.0000
2015-09-23,61.96,62.3,59.68,60.0,60.0,22684620,0.0000,1.0,65.1040,65.6140,34.4601,16.5143,37.5359,0.1310,-2.7369,-2.8679,39.8460,-154.1468,100.0000,10.0000,65.1040,70.4930,59.7150,-367625650.1908,57504796.0000
2015-09-22,62.94,63.27,61.58,61.9,61.9,14893050,0.0000,1.0,65.5325,66.2049,36.6796,37.1743,56.9793,0.3610,-2.5397,-2.9006,39.5016,-113.9518,0.0000,15.0000,65.5325,70.5822,60.4828,-350482311.4121,80189416.0000
2015-09-21,65.38,66.4,62.96,63.9,63.9,22350809,0.0000,1.0,65.7275,66.6581,39.2046,58.9192,71.9171,0.5464,-2.4445,-2.9909,39.3268,-43.0917,5.0000,20.0000,65.7275,70.4943,60.9607,-341229233.0098,95082466.0000
2015-09-18,65.4,65.75,64.01,65.75,65.75,20127316,0.0000,1.0,65.9415,66.9484,41.7290,74.8446,75.7916,0.6364,-2.4911,-3.1275,39.2875,-22.9562,10.0000,0.0000,65.9415,70.7451,61.1379,-331093401.0214,117433275.0000
2015-09-17,66.41,66.65,65.6,66.0,66.0,16594558,0.0000,1.0,66.1700,67.0746,42.0768,81.9876,72.0202,0.5839,-2.7027,-3.2866,39.3598,-2.1047,15.0000,0.0000,66.1700,71.3365,61.0035,-351220717.0214,137560591.0000
2015-09-16,65.61,68.08,65.26,67.23,67.23,25798359,0.0000,1.0,66.5260,67.1877,43.7824,70.5427,62.0807,0.4737,-2.9589,-3.4326,39.6145,8.9132,20.0000,0.0000,66.5260,72.5127,60.5393,-347269631.7833,154155149.0000
2015-09-15,61.45,65.36,61.11,64.85,64.85,29035034,0.0000,1.0,66.8585,67.1832,39.2561,63.5305,58.3179,0.1829,-3.3681,-3.5510,39.8827,-68.6411,25.0000,0.0000,66.8585,73.6493,60.0677,-357515788.5493,128356790.0000
2015-09-14,62.55,63.26,61.48,62.6,62.6,26763268,0.0000,1.0,67.3755,67.4288,34.5212,52.1690,50.5781,-0.0024,-3.5991,-3.5967,39.5124,-101.0977,30.0000,0.0000,67.3755,74.9993,59.7517,-379582414.3893,99321756.0000
2015-09-11,63.37,64.79,62.7,64.63,64.63,17738840,0.0000,1.0,67.9835,67.9371,36.9927,59.2541,41.6975,-0.0164,-3.6125,-3.5961,38.5621,-78.2176,35.0000,0.0000,67.9835,75.9200,60.0470,-386498764.5466,126085024.0000
2015-09-10,63.52,64.25,63.34,63.83,63.83,13279967,0.0000,1.0,68.5075,68.2852,35.2574,40.3112,28.2821,-0.1917,-3.7837,-3.5920,37.6548,-89.5497,40.0000,5.0000,68.5075,76.8620,60.1530,-401521609.9054,108346184.0000
2015-09-09,62.73,64.67,62.53,64.04,64.04,33147863,0.0000,1.0,68.9850,68.7542,35.5012,25.5273,22.2721,-0.3217,-3.8658,-3.5441,36.7491,-100.3097,45.0000,0.0000,68.9850,77.3072,60.6628,-402543145.8285,121626151.0000
2015-09-08,65.78,66.81,60.25,60.91,60.91,50302032,0.0000,1.0,69.6500,69.2504,28.4997,19.0076,21.2770,-0.4720,-3.9357,-3.4636,35.7958,-127.9230,50.0000,0.0000,69.6500,78.3999,60.9001,-416174042.7631,88478288.0000
2015-09-04,65.405,65.57,63.34,63.91,63.91,18186409,0.0000,1.0,70.6280,70.1284,31.6257,22.2815,18.9902,-0.3033,-3.6490,-3.3456,34.7922,-109.9198,55.0000,5.0000,70.6280,79.6209,61.6351,-375993761.1045,138780320.0000
2015-09-03,65.821,66.89,65.41,66.47,66.47,15803187,0.0000,1.0,71.3735,70.7829,34.7121,22.5418,23.2848,-0.2656,-3.5354,-3.2698,33.9646,-85.7576,60.0000,10.0000,71.3735,80.4863,62.2607,-367104440.1135,156966729.0000
2015-09-02,65.56,66.0,64.971,65.54,65.54,13373844,0.0000,1.0,71.9980,71.2369,32.4365,12.1472,36.8411,-0.3962,-3.5996,-3.2034,33.2633,-105.4854,65.0000,15.0000,71.9980,81.3887,62.6073,-373938250.7081,141163542.0000
