,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2017-12-04,10.85,10.86,9.82,10.03,10.03,95608827,0.0000,1.0,11.2335,11.2358,32.0790,15.0630,14.8599,-0.3809,-0.0418,-0.4227,19.5720,-232.0031,100.0000,10.0000,12.0868,11.2335,10.3802,-2020501115.7122,1188232469.0000
2017-12-01,10.81,10.97,10.53,10.73,10.73,41932685,0.0000,1.0,11.2880,11.3628,37.4057,21.0351,14.0905,-0.3705,0.0111,-0.3594,18.9039,-143.4485,100.0000,15.0000,11.9431,11.2880,10.6329,-1963503545.7699,1283841296.0000
2017-11-30,10.87,11.03,10.76,10.89,10.89,43101899,0.0000,1.0,11.2940,11.4294,38.8048,29.9333,16.2385,-0.3733,0.0286,-0.3447,18.7803,-107.1042,5.0000,20.0000,11.9304,11.2940,10.6576,-1959691483.4972,1325773981.0000
2017-11-29,11.08,11.17,10.73,10.83,10.83,63237037,0.0000,1.0,11.2895,11.4861,37.9783,39.8642,32.7762,-0.3804,0.0433,-0.3371,18.8685,-104.0602,10.0000,25.0000,11.9385,11.2895,10.6405,-1958095116.8675,1282672082.0000
2017-11-28,11.45,11.54,11.0,11.17,11.17,65088197,0.0000,1.0,11.2973,11.5552,40.9560,44.1525,40.7854,-0.3912,0.0748,-0.3165,18.9614,-17.9985,0.0000,30.0000,11.9275,11.2973,10.6670,-1923602187.5948,1345909119.0000
2017-11-27,11.34,11.74,11.3358,11.55,11.55,41565129,0.0000,1.0,11.2833,11.5957,44.6752,48.4639,46.0309,-0.4099,0.0898,-0.3201,19.3170,65.4199,5.0000,35.0000,11.9362,11.2833,10.6303,-1899495447.9652,1410997316.0000
2017-11-24,11.38,11.42,11.3,11.38,11.38,11033178,0.0000,1.0,11.2978,11.6006,42.4543,53.6418,45.6413,-0.4324,0.0735,-0.3588,20.0383,15.7286,10.0000,0.0000,11.9857,11.2978,10.6098,-1901984008.3853,1369432187.0000
2017-11-22,11.41,11.49,11.3,11.37,11.37,23686100,0.0000,1.0,11.3290,11.6238,42.3249,59.8876,53.7196,-0.4508,0.0650,-0.3857,20.3922,9.4256,15.0000,0.0000,12.0827,11.3290,10.5753,-1905661734.3853,1358399009.0000
2017-11-21,11.421,11.49,11.24,11.4,11.4,31469531,0.0000,1.0,11.3770,11.6505,42.5979,62.0284,61.5646,-0.4670,0.0536,-0.4134,20.7647,-4.3854,20.0000,0.0000,12.2482,11.3770,10.5058,-1899428550.1747,1382085109.0000
2017-11-20,11.47,11.505,11.19,11.34,11.34,35827552,0.0000,1.0,11.5195,11.6769,41.8858,56.7957,64.3785,-0.4804,0.0347,-0.4457,21.1568,-23.7042,25.0000,5.0000,13.0454,11.5195,9.9936,-1908240018.8547,1350615578.0000
2017-11-17,11.3,11.75,11.28,11.38,11.38,56245136,0.0000,1.0,11.6575,11.7123,42.2175,43.9434,60.1422,-0.4891,0.0147,-0.4745,21.5696,-19.9459,30.0000,10.0000,13.5490,11.6575,9.7660,-1906533944.9500,1386443130.0000
2017-11-16,11.13,11.32,11.13,11.25,11.25,30814936,0.0000,1.0,11.7790,11.7473,40.7693,29.5136,45.8664,-0.4928,-0.0155,-0.5083,22.0815,-45.8022,35.0000,15.0000,13.8837,11.7790,9.6743,-1874222909.3755,1330197994.0000
2017-11-15,11.01,11.13,10.77,11.07,11.07,33326871,0.0000,1.0,11.9140,11.7996,38.7502,19.9837,25.8215,-0.4889,-0.0419,-0.5308,22.1286,-67.3121,40.0000,20.0000,14.2039,11.9140,9.6241,-1882332103.0597,1299383058.0000
2017-11-14,11.03,11.26,11.0,11.12,11.12,36254723,0.0000,1.0,12.0640,11.8764,39.1019,22.9827,16.8528,-0.4784,-0.0551,-0.5335,21.9463,-62.4910,45.0000,25.0000,14.5014,12.0640,9.6266,-1904550017.0597,1332709929.0000
