,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2008-08-21,121.58,123.43,121.55,122.99,83.7542496739,6315000,0.0000,1.0,86.1104,85.4825,44.7348,14.1196,17.3844,-0.4897,-0.3532,0.1365,10.8292,-178.1350,0.0000,100.0000,86.1104,83.3802,88.8406,-5600243.0101,196851000.0000
2008-08-20,123.5,123.97,122.01,122.51,83.4273772466,6871600,0.0000,1.0,86.3320,85.6644,43.5867,12.2465,25.4444,-0.4976,-0.2386,0.2590,10.5385,-203.6302,5.0000,100.0000,86.3320,83.6845,88.9795,-8959285.5626,190536000.0000
2008-08-19,123.63,124.79,122.01,122.56,83.4614264577,9311600,0.0000,1.0,86.5537,85.8999,43.6765,25.7873,34.7089,-0.4390,-0.0556,0.3834,10.3524,-218.4253,10.0000,100.0000,86.5537,84.1887,88.9186,-5593603.9304,197407600.0000
2008-08-18,126.49,127.0,123.68,124.59,84.8438244319,5970000,0.0000,1.0,86.7899,86.1566,47.4463,38.2994,35.6917,-0.3178,0.1753,0.4931,10.1566,-141.4333,15.0000,100.0000,86.7899,84.7923,88.7876,33550.0268,206719200.0000
2008-08-15,127.07,127.19,125.35,126.36,86.0491665078,5566200,0.0000,1.0,86.9116,86.2948,51.0996,40.0401,29.5917,-0.2458,0.3267,0.5726,10.3938,-84.7671,20.0000,85.0000,86.9116,85.1168,88.7064,2730839.1833,212689200.0000
2008-08-14,125.01,128.25,124.8,126.94,86.4441373576,6813000,0.0000,1.0,87.0147,86.3206,52.3546,28.7356,28.1661,-0.2415,0.3925,0.6340,10.7282,-70.5628,25.0000,0.0000,87.0147,85.1931,88.8364,2186319.6184,218255400.0000
2008-08-13,125.0,126.99,124.75,125.8,85.6678153426,5857800,0.0000,1.0,86.9838,86.3076,50.0647,19.9995,37.5542,-0.2639,0.4305,0.6944,11.0801,-113.8939,30.0000,0.0000,86.9838,85.1045,88.8632,547250.0534,211442400.0000
2008-08-12,126.01,126.5,124.4,125.22,85.2728444928,6996800,0.0000,1.0,86.9721,86.3750,48.8771,35.7633,57.7163,-0.2085,0.5519,0.7604,11.4962,-130.4889,35.0000,0.0000,86.9721,85.0573,88.8869,913362.5533,205584600.0000
2008-08-11,128.43,128.43,125.75,126.6,86.2126027215,7490400,0.0000,1.0,86.8871,86.4910,51.6538,56.8997,73.5339,-0.0736,0.7389,0.8125,11.7791,-22.5953,40.0000,5.0000,86.8871,84.5698,89.2044,2445994.9347,212581400.0000
2008-08-08,129.05,129.88,127.63,128.81,87.7175778559,8561800,0.0000,1.0,86.6989,86.5203,56.5405,80.4861,78.1034,0.0403,0.8712,0.8309,12.3218,68.8318,45.0000,10.0000,86.6989,83.6858,89.7120,5185021.8007,220071800.0000
