,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2004-07-16,84.09,84.29,80.04,80.36,16.5973216505,13326600,0.0000,1.0,18.0207,17.7305,39.1652,33.3169,31.7138,-0.2249,-0.2041,0.0209,19.2714,-127.8739,35.0000,100.0000,18.0207,19.4802,16.5611,1824914317.3394,2067603100.0000
2004-07-15,84.04,84.34,82.82,83.46,17.2375866719,5287100,0.0000,1.0,18.0877,17.8498,44.8888,29.5113,36.4476,-0.2009,-0.1238,0.0771,18.9534,-97.9701,40.0000,75.0000,18.0877,19.3948,16.7806,1847553858.9849,2094256300.0000
2004-07-14,82.99,85.27,82.82,83.77,17.301613174,7523800,0.0000,1.0,18.1332,17.9143,45.5208,23.5692,31.7894,-0.2120,-0.0847,0.1273,19.2313,-99.6884,45.0000,80.0000,18.1332,19.3808,16.8857,1849223469.5084,2104830500.0000
2004-07-13,84.5,84.7,83.2,83.38,17.2210637036,4884600,0.0000,1.0,18.1712,17.9787,44.5884,17.7154,20.2969,-0.2203,-0.0400,0.1803,19.5238,-115.3499,50.0000,85.0000,18.1712,19.3601,16.9823,1852601502.1609,2089782900.0000
2004-07-12,83.44,84.42,82.42,84.15,17.3800972734,7260300,0.0000,1.0,18.1943,18.0585,46.0671,15.5886,18.6212,-0.2097,0.0257,0.2354,19.6540,-125.2964,55.0000,90.0000,18.1943,19.3250,17.0636,1860026094.1583,2099552100.0000
2004-07-09,84.72,84.96,82.62,83.78,17.3036785451,8912700,0.0000,1.0,18.2278,18.1299,45.2381,16.6711,14.2281,-0.1947,0.0931,0.2878,19.7046,-134.1019,60.0000,95.0000,18.2278,19.2981,17.1576,1849426056.1594,2085031500.0000
2004-07-08,83.01,84.94,82.11,83.65,17.2768287216,15211600,0.0000,1.0,18.2540,18.2169,44.9556,21.9941,13.9166,-0.1510,0.1855,0.3365,19.7989,-155.3095,65.0000,100.0000,18.2540,19.2561,17.2519,1849578410.0028,2067206100.0000
2004-07-07,87.8,88.36,86.25,86.87,17.9418781954,10343300,0.0000,1.0,18.3092,18.3158,51.1650,32.5105,21.8686,-0.0708,0.3034,0.3743,19.8926,-51.9903,70.0000,50.0000,18.3092,19.2060,17.4124,1846890848.1611,2097629300.0000
2004-07-06,91.09,91.17,89.21,89.84,18.5552933933,5763900,0.0000,1.0,18.3256,18.3552,58.2099,43.6405,30.1971,-0.0101,0.3819,0.3920,20.9385,51.9640,75.0000,55.0000,18.3256,19.2068,17.4444,1855420394.1291,2118315900.0000
2004-07-02,90.27,91.36,89.43,91.27,18.8506414515,5293800,0.0000,1.0,18.3074,18.3341,62.1225,57.8074,45.4656,0.0195,0.4140,0.3945,21.1194,81.2276,80.0000,60.0000,18.3074,19.1839,17.4310,1859537465.5567,2129843700.0000
2004-07-01,91.979,92.18,90.1,90.59,18.710196221,6566300,0.0000,1.0,18.2695,18.2798,60.9364,69.7884,55.2589,0.0293,0.4189,0.3896,21.2323,103.7849,85.0000,65.0000,18.2695,19.1138,17.4253,1849937310.1149,2119256100.0000
2004-06-30,92.31,92.89,91.04,91.95,18.991086682,8481400,0.0000,1.0,18.2521,18.2344,64.7913,80.7892,72.6978,0.0510,0.4333,0.3823,21.1157,158.7349,90.0000,70.0000,18.2521,19.0733,17.4309,1856882435.1143,2132388700.0000
2004-06-29,92.36,92.79,91.25,91.82,18.9642368585,8352500,0.0000,1.0,18.2292,18.1548,64.5879,87.4345,81.4085,0.0473,0.4169,0.3696,20.6499,187.8573,95.0000,75.0000,18.2292,18.9899,17.4684,1857157507.5463,2115425900.0000
2004-06-28,91.28,94.13,91.02,92.81,19.1687085912,13220000,0.0000,1.0,18.1980,18.0696,67.4055,89.8236,88.2614,0.0348,0.3925,0.3577,20.0822,268.1164,100.0000,80.0000,18.1980,18.8830,17.5129,1861496468.5863,2132130900.0000
2004-06-25,88.83,91.515,88.74,90.72,18.7370460445,13563500,0.0000,1.0,18.1488,17.9539,64.2803,80.7976,92.6337,-0.0141,0.3349,0.3490,19.4846,184.7425,100.0000,85.0000,18.1488,18.6696,17.6281,1857500712.9561,2105690900.0000
2004-06-24,88.47,89.29,88.25,88.74,18.3281025792,6491400,0.0000,1.0,18.1047,17.8715,60.9069,64.5692,88.5757,-0.0521,0.3005,0.3525,19.3820,91.7789,25.0000,0.0000,18.1047,18.5646,17.6449,1845916750.7919,2078563900.0000
2004-06-23,87.15,88.36,86.79,88.35,18.2475531088,8286800,0.0000,1.0,18.0695,17.8234,60.2036,47.7527,61.1835,-0.0718,0.2938,0.3656,19.8268,33.8051,30.0000,0.0000,18.0695,18.5622,17.5768,1846665758.4830,2065581100.0000
